Date,Consumer Sentiment,PCE Total,PCE Durables,PCE Nondurables,PCE Services,Real Disposable Income,Recession Flag,Sentiment_MoM,Spending_MoM,Sentiment_Z,Spending_Z,Divergence_Raw,Divergence_3m,Divergence_6m,High_Divergence_Flag,Event_Label
2000-07-01,108.3,6768.5,897.3,1547.8,4323.4,10035.9,0,0.0178571428571427,0.0032014703048808,0.3299216333891346,-0.0611613613371607,0.3910829947262954,-0.0865476891480038,-0.2519954801301337,0,
2000-08-01,107.3,6802.8,906.4,1548.8,4347.6,10098.3,0,-0.0092336103416436,0.0050675925241929,-0.1544309675702813,0.1120136285826794,-0.2664445961529608,-0.2384773770091802,-0.1444814577288986,0,
2000-09-01,106.8,6888.6,931.3,1575.8,4381.5,10110.3,0,-0.0046598322460391,0.0126124536955372,-0.0726568913546205,0.8121720875370639,-0.8848289788916844,-0.2533968601061167,-0.0981228041463351,0,
2000-10-01,105.8,6893.8,920.6,1572.6,4400.6,10139.2,0,-0.0093632958801498,0.0007548703655313,-0.1567496010693724,-0.2882043253242138,0.1314547242548414,-0.3399396169299347,-0.2132436530389692,0,
2000-11-01,107.6,6909.8,913.4,1572.5,4424.0,10143.5,0,0.0170132325141776,0.0023209260494938,0.3148334530571814,-0.1428753246416752,0.4577087776988566,-0.0985551589793288,-0.1685162679942545,0,
2000-12-01,98.4,6952.2,913.5,1587.7,4451.0,10164.3,0,-0.0855018587360594,0.0061362123361023,-1.5180226037787925,0.2111808874258691,-1.7292034912046617,-0.3800133297503212,-0.3167050949282189,0,
2001-01-01,94.7,6987.4,916.5,1582.1,4488.9,10211.7,0,-0.0376016260162601,0.0050631454791287,-0.6616196040484112,0.1116009455460621,-0.7732205495944734,-0.6815717543667595,-0.5107556856483471,0,
2001-02-01,90.6,7001.8,938.9,1574.9,4488.0,10223.4,0,-0.0432946145723337,0.0020608523914475,-0.7634039211596076,-0.1670099995544349,-0.5963939216051727,-1.032939320801436,-0.5657472398903823,1,
2001-03-01,91.5,6996.7,925.1,1560.3,4511.3,10254.4,0,0.0099337748344372,-0.0007283841297952,0.1882606067651862,-0.4258494268178455,0.6141100335830317,-0.2518348125388715,-0.3159240711445963,0,
2001-04-01,88.4,7004.2,908.3,1582.1,4513.8,10233.1,1,-0.0338797814207649,0.0010719339117011,-0.5950771533100688,-0.2587810239757417,-0.336296129334327,-0.1061933391188227,-0.3938825467427911,0,
2001-05-01,92.0,7052.8,916.0,1603.0,4533.8,10214.7,1,0.0407239819004523,0.0069386939265012,0.7387553370915281,0.2856506836107109,0.4531046534808172,0.2436395192431738,-0.394649900779131,0,
